Rank,Rider,Rider No.,Team,Points,Unnamed: 5,Stages,Year,Times,B,P,Segment
6,SAMUEL SANCHEZ,181,EUSKALTEL - EUSKADI,10 PTS,,12,2010,,,,Côte de la Croix-Neuve (Montée Laurent Jalabert) - 210.5 km
1,SYLVAIN CHAVANEL,131,QUICK STEP,3 PTS,,13,2010,,,,Côte de Mergals - 196 km
2,PIERRICK FEDRIGO,154,BBOX BOUYGUES TELECOM,2 PTS,,13,2010,,,,Côte de Mergals - 196 km
3,JUAN ANTONIO FLECHA GIANNONI,34,SKY PRO CYCLING,1 PTS,,13,2010,,,,Côte de Mergals - 196 km
1,PIERRICK FEDRIGO,154,BBOX BOUYGUES TELECOM,3 PTS,,13,2010,,,,Côte de Bégon - 196 km
2,SYLVAIN CHAVANEL,131,QUICK STEP,2 PTS,,13,2010,,,,Côte de Bégon - 196 km
3,JUAN ANTONIO FLECHA GIANNONI,34,SKY PRO CYCLING,1 PTS,,13,2010,,,,Côte de Bégon - 196 km
1,PIERRICK FEDRIGO,154,BBOX BOUYGUES TELECOM,4 PTS,,13,2010,,,,Côte d'Ambialet - 196 km
2,SYLVAIN CHAVANEL,131,QUICK STEP,3 PTS,,13,2010,,,,Côte d'Ambialet - 196 km
3,JUAN ANTONIO FLECHA GIANNONI,34,SKY PRO CYCLING,2 PTS,,13,2010,,,,Côte d'Ambialet - 196 km
4,THOMAS VOECKLER,151,BBOX BOUYGUES TELECOM,1 PTS,,13,2010,,,,Côte d'Ambialet - 196 km
1,SYLVAIN CHAVANEL,131,QUICK STEP,3 PTS,,13,2010,,,,Côte de Puylaurens - 196 km
2,PIERRICK FEDRIGO,154,BBOX BOUYGUES TELECOM,2 PTS,,13,2010,,,,Côte de Puylaurens - 196 km
3,JUAN ANTONIO FLECHA GIANNONI,34,SKY PRO CYCLING,1 PTS,,13,2010,,,,Côte de Puylaurens - 196 km
1,ALESSANDRO BALLAN,122,BMC RACING TEAM,4 PTS,,13,2010,,,,Côte de Saint-Ferréol - 196 km
2,ALEXANDRE VINOKOUROV,9,ASTANA,3 PTS,,13,2010,,,,Côte de Saint-Ferréol - 196 km
3,NICOLAS ROCHE,81,AG2R LA MONDIALE,2 PTS,,13,2010,,,,Côte de Saint-Ferréol - 196 km
4,LUIS LEON SANCHEZ,161,CAISSE D'EPARGNE,1 PTS,,13,2010,,,,Côte de Saint-Ferréol - 196 km
1,CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,20 PTS,,14,2010,,,,Port de Pailhères - 184.5 km
2,AMAEL MOINARD,177,COFIDIS LE CREDIT EN LIGNE,18 PTS,,14,2010,,,,Port de Pailhères - 184.5 km
3,JURGEN VAN DE WALLE,138,QUICK STEP,16 PTS,,14,2010,,,,Port de Pailhères - 184.5 km
4,RAFAEL VALLS,219,FOOTON-SERVETTO,14 PTS,,14,2010,,,,Port de Pailhères - 184.5 km
5,CARLOS SASTRE,91,CERVELO TEST TEAM,12 PTS,,14,2010,,,,Port de Pailhères - 184.5 km
6,VASILI KIRYIENKA,165,CAISSE D'EPARGNE,10 PTS,,14,2010,,,,Port de Pailhères - 184.5 km
7,ANTHONY CHARTEAU,153,BBOX BOUYGUES TELECOM,8 PTS,,14,2010,,,,Port de Pailhères - 184.5 km
8,DAMIANO CUNEGO,201,LAMPRE - FARNESE,7 PTS,,14,2010,,,,Port de Pailhères - 184.5 km
9,CHRISTOPHE MOREAU,166,CAISSE D'EPARGNE,6 PTS,,14,2010,,,,Port de Pailhères - 184.5 km
10,JUAN MANUEL GARATE,194,RABOBANK,5 PTS,,14,2010,,,,Port de Pailhères - 184.5 km
1,CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,30 PTS,,14,2010,,,,Ax 3 Domaines - 184.5 km
3,SAMUEL SANCHEZ,181,EUSKALTEL - EUSKADI,22 PTS,,14,2010,,,,Ax 3 Domaines - 184.5 km
4,JURGEN VAN DEN BROECK,101,OMEGA PHARMA - LOTTO,18 PTS,,14,2010,,,,Ax 3 Domaines - 184.5 km
5,JOAQUIN RODRIGUEZ OLIVER,77,KATUSHA TEAM,16 PTS,,14,2010,,,,Ax 3 Domaines - 184.5 km
6,ROBERT GESINK,195,RABOBANK,14 PTS,,14,2010,,,,Ax 3 Domaines - 184.5 km
7,ANDY SCHLECK,11,TEAM SAXO BANK,12 PTS,,14,2010,,,,Ax 3 Domaines - 184.5 km
1,PIERRICK FEDRIGO,154,BBOX BOUYGUES TELECOM,3 PTS,,15,2010,,,,Côte de Carla-Bayle - 187.5 km
2,THOR HUSHOVD,95,CERVELO TEST TEAM,2 PTS,,15,2010,,,,Côte de Carla-Bayle - 187.5 km
3,ALESSANDRO PETACCHI,208,LAMPRE - FARNESE,1 PTS,,15,2010,,,,Côte de Carla-Bayle - 187.5 km
1,THOMAS VOECKLER,151,BBOX BOUYGUES TELECOM,10 PTS,,15,2010,,,,Col de Portet-d'Aspet - 187.5 km
2,SÉBASTIEN TURGOT,158,BBOX BOUYGUES TELECOM,9 PTS,,15,2010,,,,Col de Portet-d'Aspet - 187.5 km
3,LLOYD MONDORY,87,AG2R LA MONDIALE,8 PTS,,15,2010,,,,Col de Portet-d'Aspet - 187.5 km
