Rank,Team,Times,Gap,Stages,Year,Rider,Rider No.,B,P
16,FDJ,177h 33' 04'',+ 01h 21' 48'',12,2010,,,,
17,CERVELO TEST TEAM,177h 50' 59'',+ 01h 39' 43'',12,2010,,,,
18,GARMIN - TRANSITIONS,177h 51' 08'',+ 01h 39' 52'',12,2010,,,,
19,KATUSHA TEAM,177h 58' 10'',+ 01h 46' 54'',12,2010,,,,
20,FOOTON-SERVETTO,178h 21' 33'',+ 02h 10' 17'',12,2010,,,,
21,TEAM MILRAM,178h 48' 25'',+ 02h 37' 09'',12,2010,,,,
22,LAMPRE - FARNESE,179h 01' 18'',+ 02h 50' 02'',12,2010,,,,
1,TEAM RADIOSHACK,189h 31' 13'',-,13,2010,,,,
2,CAISSE D'EPARGNE,189h 31' 34'',+ 00h 00' 21'',13,2010,,,,
3,RABOBANK,189h 47' 26'',+ 00h 16' 13'',13,2010,,,,
4,ASTANA,189h 49' 30'',+ 00h 18' 17'',13,2010,,,,
5,AG2R LA MONDIALE,189h 51' 35'',+ 00h 20' 22'',13,2010,,,,
6,OMEGA PHARMA - LOTTO,189h 56' 51'',+ 00h 25' 38'',13,2010,,,,
7,LIQUIGAS-DOIMO,190h 05' 27'',+ 00h 34' 14'',13,2010,,,,
8,BBOX BOUYGUES TELECOM,190h 12' 14'',+ 00h 41' 01'',13,2010,,,,
9,SKY PRO CYCLING,190h 13' 34'',+ 00h 42' 21'',13,2010,,,,
10,EUSKALTEL - EUSKADI,190h 18' 44'',+ 00h 47' 31'',13,2010,,,,
11,QUICK STEP,190h 20' 05'',+ 00h 48' 52'',13,2010,,,,
12,COFIDIS LE CREDIT EN LIGNE,190h 20' 41'',+ 00h 49' 28'',13,2010,,,,
13,BMC RACING TEAM,190h 28' 12'',+ 00h 56' 59'',13,2010,,,,
14,TEAM HTC - COLUMBIA,190h 32' 53'',+ 01h 01' 40'',13,2010,,,,
15,TEAM SAXO BANK,190h 39' 36'',+ 01h 08' 23'',13,2010,,,,
16,FDJ,190h 53' 01'',+ 01h 21' 48'',13,2010,,,,
17,CERVELO TEST TEAM,191h 10' 56'',+ 01h 39' 43'',13,2010,,,,
18,GARMIN - TRANSITIONS,191h 11' 05'',+ 01h 39' 52'',13,2010,,,,
19,KATUSHA TEAM,191h 19' 28'',+ 01h 48' 15'',13,2010,,,,
20,FOOTON-SERVETTO,191h 44' 12'',+ 02h 12' 59'',13,2010,,,,
21,TEAM MILRAM,192h 10' 17'',+ 02h 39' 04'',13,2010,,,,
22,LAMPRE - FARNESE,192h 21' 15'',+ 02h 50' 02'',13,2010,,,,
1,CAISSE D'EPARGNE,204h 16' 00'',-,14,2010,,,,
2,TEAM RADIOSHACK,204h 16' 08'',+ 00h 00' 08'',14,2010,,,,
3,RABOBANK,204h 33' 13'',+ 00h 17' 13'',14,2010,,,,
4,AG2R LA MONDIALE,204h 34' 38'',+ 00h 18' 38'',14,2010,,,,
5,ASTANA,204h 42' 32'',+ 00h 26' 32'',14,2010,,,,
6,OMEGA PHARMA - LOTTO,204h 44' 35'',+ 00h 28' 35'',14,2010,,,,
7,LIQUIGAS-DOIMO,205h 04' 20'',+ 00h 48' 20'',14,2010,,,,
8,EUSKALTEL - EUSKADI,205h 05' 52'',+ 00h 49' 52'',14,2010,,,,
9,QUICK STEP,205h 08' 15'',+ 00h 52' 15'',14,2010,,,,
10,COFIDIS LE CREDIT EN LIGNE,205h 13' 08'',+ 00h 57' 08'',14,2010,,,,
11,SKY PRO CYCLING,205h 14' 23'',+ 00h 58' 23'',14,2010,,,,
12,BBOX BOUYGUES TELECOM,205h 23' 35'',+ 01h 07' 35'',14,2010,,,,
13,TEAM SAXO BANK,205h 43' 13'',+ 01h 27' 13'',14,2010,,,,
14,TEAM HTC - COLUMBIA,205h 49' 47'',+ 01h 33' 47'',14,2010,,,,
15,BMC RACING TEAM,205h 56' 20'',+ 01h 40' 20'',14,2010,,,,
16,FDJ,205h 58' 53'',+ 01h 42' 53'',14,2010,,,,
17,KATUSHA TEAM,206h 21' 18'',+ 02h 05' 18'',14,2010,,,,
18,GARMIN - TRANSITIONS,206h 25' 45'',+ 02h 09' 45'',14,2010,,,,
19,CERVELO TEST TEAM,206h 40' 16'',+ 02h 24' 16'',14,2010,,,,
20,FOOTON-SERVETTO,207h 08' 43'',+ 02h 52' 43'',14,2010,,,,
21,LAMPRE - FARNESE,207h 46' 00'',+ 03h 30' 00'',14,2010,,,,
22,TEAM MILRAM,207h 53' 56'',+ 03h 37' 56'',14,2010,,,,
1,TEAM RADIOSHACK,218h 42' 52'',-,15,2010,,,,
